,time,article,Quantity
1208,18,TARTE FRUITS 6P,8
1209,18,TARTELETTE,131
1210,18,TARTELETTE CHOC,4
1211,18,TARTELETTE FRAISE,16
1212,18,TRADITIONAL BAGUETTE,3491
1213,18,TRAITEUR,33
1214,18,TRIANGLES,2
1215,18,TROPEZIENNE,24
1216,18,TULIPE,1
1217,18,VIENNOISE,4
1218,18,VIK BREAD,107
1219,19,BAGUETTE,66
1220,19,BAGUETTE GRAINE,15
1221,19,BANETTE,64
1222,19,BANETTINE,11
1223,19,BOISSON 33CL,10
1224,19,BOULE 200G,16
1225,19,BOULE 400G,33
1226,19,BOULE POLKA,8
1227,19,BRIOCHE,5
1228,19,CAFE OU EAU,3
1229,19,CAMPAGNE,30
1230,19,CEREAL BAGUETTE,26
1231,19,CHAUSSON AUX POMMES,6
1232,19,COMPLET,9
1233,19,COOKIE,5
1234,19,COUPE,127
1235,19,CROISSANT,14
1236,19,CROISSANT AMANDES,8
1237,19,DEMI BAGUETTE,1
1238,19,DEMI PAIN,5
1239,19,DIVERS BOULANGERIE,2
1240,19,DIVERS CONFISERIE,4
1241,19,DIVERS PATISSERIE,10
1242,19,DIVERS SANDWICHS,2
1243,19,DIVERS VIENNOISERIE,19
1244,19,ECLAIR,3
1245,19,FICELLE,12
1246,19,FINANCIER X5,4
1247,19,FLAN,1
1248,19,FLAN ABRICOT,2
1249,19,FONDANT CHOCOLAT,1
1250,19,FORMULE SANDWICH,1
1251,19,FRAISIER,1
1252,19,GAL FRANGIPANE 6P,1
1253,19,GAL POMME 4P,1
1254,19,GAL POMME 6P,1
1255,19,GD FAR BRETON,1
1256,19,GD KOUIGN AMANN,9
1257,19,GD NANTAIS,2
1258,19,GRAND FAR BRETON,10
1259,19,KOUIGN AMANN,13
1260,19,MILLES FEUILLES,5
1261,19,MOISSON,14
1262,19,NANTAIS,2
1263,19,NOIX JAPONAISE,3
1264,19,PAIN,9
1265,19,PAIN AU CHOCOLAT,20
1266,19,PAIN AUX RAISINS,10
1267,19,PAIN BANETTE,19
1268,19,PAIN CHOCO AMANDES,5
1269,19,PAIN S/SEL,1
1270,19,PALET BRETON,1
1271,19,PARIS BREST,5
1272,19,PLAT 7.60E,1
1273,19,"PLATPREPARE5,50",1
1274,19,"PLATPREPARE7,00",1
1275,19,PT NANTAIS,4
1276,19,QUIM BREAD,4
1277,19,RELIGIEUSE,1
1278,19,SACHET DE CROUTON,1
1279,19,SACHET VIENNOISERIE,1
1280,19,SAND JB EMMENTAL,3
1281,19,SEIGLE,14
1282,19,SPECIAL BREAD,33
1283,19,SPECIAL BREAD KG,1
1284,19,ST HONORE,1
1285,19,SUCETTE,4
1286,19,TARTE FRAISE 4PER,1
1287,19,TARTE FRAISE 6P,2
1288,19,TARTELETTE,15
1289,19,TARTELETTE CHOC,1
1290,19,TARTELETTE FRAISE,3
1291,19,TRADITIONAL BAGUETTE,367
1292,19,TRAITEUR,10
1293,19,TROPEZIENNE,3
1294,19,VIENNOISE,1
1295,19,VIK BREAD,13
1296,20,ARTICLE 295,1
1297,20,COUPE,1
1298,20,MOISSON,1
1299,20,TRADITIONAL BAGUETTE,5
